timestamp,symbol,secType,exchange,action,quantity,price,value,strategy
2025-03-13T18:24:56.246756,SPY,STK,SMART,BUY,7,559.09,3913.63,Equities
2025-03-13T18:24:56.260004,QQQ,STK,SMART,BUY,3,808.6254435225329,2425.876330567599,Equities
2025-03-13T18:24:56.262254,EWS,STK,SMART,BUY,2,752.0503735071436,1504.1007470142872,Equities
2025-03-13T18:24:56.264908,AAPL,STK,SMART,BUY,1,936.9263606368817,936.9263606368817,Equities
2025-03-13T18:24:56.266466,AGG,STK,SMART,BUY,5,384.7251158733609,1923.6255793668045,Bonds
2025-03-13T18:24:56.267753,LQD,STK,SMART,BUY,3,502.8028849634296,1508.4086548902887,Bonds
2025-03-13T18:24:56.268993,TLT,STK,SMART,BUY,1,907.2021573329957,907.2021573329957,Bonds
2025-03-13T18:24:56.270638,GLD,STK,SMART,BUY,2,944.3223223504003,1888.6446447008007,Commodities
2025-03-13T18:24:56.271870,USO,STK,SMART,BUY,1,735.8399167259699,735.8399167259699,Commodities
2025-03-13T18:24:56.272732,SLV,STK,SMART,BUY,2,434.29766775134266,868.5953355026853,Commodities
2025-03-13T18:24:56.273480,REET,STK,SMART,BUY,1,832.191946090061,832.191946090061,Alternatives
